Code	Definition	Sub-theme	Theme	Example quote
In some homes the agent reminded the caregiver	Where a caregiver gives the medicine, the agent's first user is the caregiver. Lived.	Mostly It Reminded Me: The Caregiver as First Principal	The Agent as the Caregiver's Own Tool	\"Mostly it reminded me, because I am the one managing their medicines. If I am busy doing household work, the reminder helps me remember that it is time.\" (C05, Phase 2, L17)
The agent said whom it works for, and that was clear	Hearing the agent state whom it served was odd at first, then helpful. Lived.	Legibility of Whom the Agent Serves	The Agent as the Caregiver's Own Tool	\"It did not feel like it was secretly doing something. I knew what information was being shared.\" (C03, Phase 2, L17)
Letting family in is trust, not losing independence	Family already knows and helps; letting the agent tell them changes nothing about who takes the medicine. Elicited.	Legibility of Whom the Agent Serves	The Agent as the Caregiver's Own Tool	\"If there is something important, like someone missed medicine, then I think family should know. We already remind each other normally. So sharing that kind of thing is not a big problem.\" (C02, Phase 2, L20)
It became the family's when my child started checking it	The agent became shared through a kin's checking or listening, not through setup. Lived.	Shared When They Started Listening	The Agent as the Caregiver's Own Tool	\"Earlier I was thinking I will set it up for them and then leave it. But after using it, my mother started listening for the reminder and my father also knew that if he does not confirm then I may get a notification. So it became more of a family thing.\" (C03, Phase 2, L29)
Tell the one who knows or is at home	Direction goes to one person, chosen by knowledge, presence, or role. Hypothetical.	My Place in the Circle, One Person, When She Agrees	The Agent as the Caregiver's Own Tool	\"A normal reminder can stay with the person taking the medicine and me. If there are repeated missed medicines, a wrong medicine, or some change that needs attention, then it should come to the family.\" (C01, Phase 2, L124)
Only if I agree	The older adult's consent is the condition for telling family. Hypothetical.	My Place in the Circle, One Person, When She Agrees	The Agent as the Caregiver's Own Tool	\"When the person using it agrees. In our case my mother is okay with me knowing if she misses a medicine because I already help her. But I don't think it should automatically tell the whole family everything.\" (C04, Phase 2, L189)
Tell family only about a real miss, silence, or empty stock	Family is not told every dose. Elicited, hypothetical.	My Place in the Circle, One Person, When She Agrees	The Agent as the Caregiver's Own Tool	\"My parents for the medicine itself. But for the family notification, it should consider both. I don't want information about them coming to me unnecessarily, but I do want to know when there is a real problem.\" (C03, Phase 2, L181)
Give me a first chance, remind again, then tell one person	The accepted escalation: not too fast, not silent. Mostly hypothetical.	My Place in the Circle, One Person, When She Agrees	The Agent as the Caregiver's Own Tool	\"It should remind again after some time. Sometimes my mother forgets, so one reminder may not be enough. If there is still no response, then maybe it can inform me.\" (C01, Phase 2, L40)
For me first, then for both of us	Everyone said both, the older adult first. Elicited.	My Place in the Circle, One Person, When She Agrees	The Agent as the Caregiver's Own Tool	\"I think all of us, in a way. It helps me because I am the one mostly managing the medicine. But the main purpose is helping my parents and my aunty take their medicine properly.\" (C01, Phase 2, L116)
The caregiver no longer watches the clock	Less calling, less worrying, no sudden thought at work. Lived.	Relieved of the Clock, the Calling, and the Intrusive Thought	Less Pressure, Not Less Responsibility	\"I don't keep watching the clock for their medicine. I can focus on my work. If something needs my attention, then I get the notification.\" (C03, Phase 2, L165)
