Theme	Organizing concept	Sub-theme	What it means	Boundary and variation	RQ and contribution
Older adults preserve agency inside collective medication work	Older adults retain forms of action while knowledge, reminders, supply, and authority circulate through a care network.	Taking and knowing are different forms of competence	Familiar packaging and routine can support taking without biomedical name recall.	Kin-held knowledge does not automatically replace older adult action.	RQ1; C1
Older adults preserve agency inside collective medication work	Older adults retain forms of action while knowledge, reminders, supply, and authority circulate through a care network.	Reminding circulates through relationships and presence	Spouses, children, and peers cue remembering within ordinary routines.	Circulation does not mean that no person carries primary responsibility.	RQ1; C1
Older adults preserve agency inside collective medication work	Older adults retain forms of action while knowledge, reminders, supply, and authority circulate through a care network.	Independence remains an active boundary	Some older adults manage with memory, notes, or prescriptions and reject current technology need.	Refusal remains a legitimate form of participation.	RQ1; C1
Routine transitions expose coordination problems, not a general memory deficit	Breakdowns occur when time, place, people, supply, or packaging no longer align.	Changed time and place displace familiar cues	Travel, visitors, work, and delayed meals interrupt otherwise workable routines.	Remembering the schedule does not ensure that medicine is present.	RQ1; C1
Routine transitions expose coordination problems, not a general memory deficit	Breakdowns occur when time, place, people, supply, or packaging no longer align.	Family availability shapes whether a lapse is noticed	Shared reminding can fail when everyone is busy or a caregiver is away.	Distance creates uncertainty rather than proof of a missed dose.	RQ1; C1
Routine transitions expose coordination problems, not a general memory deficit	Breakdowns occur when time, place, people, supply, or packaging no longer align.	Supply and packaging create non-reminder failures	A finished strip blocks action and a changed package can disrupt recognition.	These failures require more than reminder salience.	RQ1; C1 and C3 basis
Current tools support fragments of practice and create new handoffs	Alarms, papers, notes, locations, calls, and shared devices each support bounded tasks.	Generic alarms attract attention without specifying action	An alarm may be noticed but not identify the medicine or produce immediate action.	One older adult finds alarms helpful despite deferral.	RQ1; C1 and C3 basis
Current tools support fragments of practice and create new handoffs	Alarms, papers, notes, locations, calls, and shared devices each support bounded tasks.	Device and document access shape participation	Multi-step apps, button phones, small print, and handwriting alter who can act directly.	These are interaction conditions rather than age-based incapacity.	RQ1; C1
Current tools support fragments of practice and create new handoffs	Alarms, papers, notes, locations, calls, and shared devices each support bounded tasks.	Existing practices may already be sufficient	Notes, prescriptions, fixed locations, and family questions remain effective for some older adults.	Technology need cannot be inferred from age alone.	RQ1; C1
Future technology is acceptable when it extends the care network	Older adults favor direct participation, selective family support, and continuing human authority.	Voice and visual cues connect prompts to familiar medicines	Spoken Bangla, medicine names, pictures, and simple controls can reduce screen dependence.	One privacy countercase requires a quieter alternative.	RQ1 with formative support for RQ3; C3 basis
Future technology is acceptable when it extends the care network	Older adults favor direct participation, selective family support, and continuing human authority.	Escalation communicates exceptions rather than continuous compliance	A repeat and time to respond should precede family notification.	Digital confirmation remains subordinate to medicine taking.	RQ1 with formative support for RQ3; C3 basis
Future technology is acceptable when it extends the care network	Older adults favor direct participation, selective family support, and continuing human authority.	Trust remains attached to accountable people	Kin may configure and verify information while doctors retain medication authority.	Phase 1 does not show negotiated agent allegiance through use.	RQ1 with formative support for RQ3; C3 basis
